쏘나타	1985-1995	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
쏘나타 DN8 PE	2026	-	ID4A	PN 95440-L1000, 95440-L1050, 95440-L1100	
그랜저	1986-1997	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
그랜저 XG	1998	-	4D60 / ID60	-	
그랜저 XG	1999	-	4D60 / ID60	-	
그랜저 XG	2000	-	4D60 / ID60	-	
그랜저 XG	2001	-	4D60 / ID60	-	
그랜저 XG	2002	-	4D60 / ID60	-	
그랜저 XG	2003	-	4D60 / ID60	-	
그랜저 XG	2004	-	4D60 / ID60	-	
그랜저 XG/TG	2005	-	4D60/ID60 또는 ID46	-	카탈로그상 1998-2005와 2005-2011 두 구간이 2005년에 겹침
그랜저 TG	2006	PCF7936(일반키)	ID46	일반키: PN 81996-3L010 / 리모컨: PN 95430-3L002	
그랜저 TG	2007	PCF7936(일반키)	ID46	리모컨: PN 95430-3L002	
그랜저 TG	2008	PCF7936(일반키)/PCF7952(스마트)	ID46	스마트키: PN 95440-3L000	카탈로그 원문상 2005-2011 구간에 스마트키(95440-3L000)가 이미 명시됨
그랜저 TG	2009	PCF7936(일반키)/PCF7952(스마트)	ID46	스마트키: PN 95440-3L000	
그랜저 TG	2010	PCF7936(일반키)/PCF7952(스마트)	ID46	스마트키: PN 95440-3L000	
그랜저 TG	2011	PCF7936(일반키)/PCF7952(스마트)	ID46	리모컨: PN 95430-3L022 / 스마트키: PN 95440-3L000	
그랜저 HG	2012	PCF7952(스마트)	ID46 계열	PN 95440-3V035	
그랜저 HG	2013	PCF7952(스마트)	ID46 계열	PN 95440-3V035	
그랜저 HG	2014	PCF7952(스마트)	ID46 계열	PN 95440-3V035	
그랜저 HG	2015	PCF7952(스마트)	ID46 계열	PN 95440-3V022	
그랜저 HG	2016	PCF7952(스마트)	ID46 계열	PN 95440-3V022	
그랜저 IG	2017	NCF2952X	ID47	스마트키: PN 95443-G8000	카탈로그상 2018-2022 구간이 2017년부터 시작되는 것으로 보임(그랜저IG 국내 출시 2016년말~2017년초)
그랜저 IG	2018	NCF2952X	ID47	PN 95440-G8000, 95440-G8100	
그랜저 IG	2019	NCF2952X	ID47	PN 95440-G8000, 95440-G8100	
그랜저 IG	2020	NCF2952X	ID47	PN 95440-G8000, 95440-G8100	
그랜저 IG	2021	NCF2952X/NCF29A1X	ID47	PN 95440-G8150	
그랜저 IG	2022	NCF2952X/NCF29A1X	ID47	국내 부품번호 확인 필요	
그랜저 GN7	2023	-	ID4A	PN 95440-BY000, 95440-BY100	
그랜저 GN7	2024	-	ID4A	PN 95440-BY000, 95440-BY100	
그랜저 GN7	2025	-	ID4A	PN 95440-BY000, 95440-BY100	
그랜저 GN7	2026	-	ID4A	PN 95440-BY000, 95440-BY100	
스텔라 (Stellar)	1983-1997	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
다이너스티 (Dynasty)	1997-2005	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아반떼 (1995 이전 J1)	1995	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아반떼 J2	1996	-	ID4C	-	카탈로그 원문 HYUNDAI LANTRA(당시 수출명) 기준
아반떼 J2	1997	-	ID4C	-	
아반떼 J2	1998	-	ID4C	-	
아반떼 J2	1999	-	ID4C	-	
아반떼 J2/XD	2000	-	ID4C 또는 ID46	-	XD 출시(2000.4)로 전환되는 해
아반떼 XD	2001	-	ID46	PN 81996-2B010	
아반떼 XD	2002	-	ID46	-	
아반떼 XD	2003	-	ID46	-	
아반떼 XD	2004	-	ID46	-	
아반떼 XD	2005	-	ID46	-	
아반떼 XD/HD	2006	PCF7936	ID46	국내 부품번호 확인 필요	
아반떼 HD	2007	PCF7936	ID46	리모컨: PN 95430-2H001	국내 현대모비스 확인 — HD 출시(2006.11) 초기형
아반떼 HD	2008	PCF7936	ID46	리모컨: PN 95430-2H001, 95430-2H005	국내 현대모비스 확인
아반떼 HD	2009	PCF7936(일반)/PCF7952A(스마트)	ID46	리모컨: PN 95430-2H005 / 스마트키: PN 95440-2M050 / 비상키: PN 81996-2H020	국내 현대모비스 확인 — 스마트키 트림 확인(하이브리드 2009-2013 공용)
아반떼 HD/MD	2010	PCF7936	ID46	국내 부품번호 확인 필요	
아반떼 MD	2011	PCF7936(일반)/PCF7952(스마트)	ID46	폴딩키: PN 95430-3X200 / 스마트키: PN 95440-3X000	국내 현대모비스 확인
아반떼 MD	2012	PCF7936(일반)/PCF7952(스마트)	ID46	폴딩키: PN 95430-3X200, 95430-3X201 / 스마트키: PN 95440-3X000	국내 현대모비스 확인
아반떼 MD	2013	PCF7936(일반)/PCF7952(스마트)	ID46	폴딩키: PN 95430-3X201, 95430-3X300 / 스마트키: PN 95440-3X500	국내 현대모비스 확인
아반떼 MD	2014	PCF7936(일반)/PCF7952(스마트)	ID46	폴딩키: PN 95430-3X300 / 스마트키: PN 95440-3X500	국내 현대모비스 확인
아반떼 MD/AD	2015	PCF7936(일반)/PCF7952(스마트)	ID46	스마트키: PN 95440-3X500	
아반떼 AD	2016	PCF7936(일반)/NCF2952X(스마트)	ID46 또는 ID47	스마트키: PN 95440-F2000	
아반떼 AD	2017	PCF7936(일반)/NCF2952X(스마트)	ID46 또는 ID47	스마트키: PN 95440-F2000, 95430-G3100	
아반떼 AD	2018	PCF7936(일반)/NCF2952X(스마트)	ID46 또는 ID47	스마트키: PN 95440-F2000	
아반떼 AD	2019	PCF7936(일반)/NCF2952X(스마트)	ID46 또는 ID47	스마트키: PN 95440-F2002	
아반떼 AD/CN7	2020	NCF2952X(AD) 또는 -(CN7)	ID47(AD) 또는 ID4A(CN7)	국내 부품번호 확인 필요	같은 연식(2020년형)에 AD 후기 생산분과 CN7 초기 생산분이 섞여있을 수 있음
아반떼 CN7	2021	-	ID4A	일반키: PN 95430-AA000 / 스마트키: PN 95440-AA000	
아반떼 CN7	2022	-	ID4A	일반키: PN 95430-AA000 / 스마트키: PN 95440-AA000	
아반떼 CN7	2023	-	ID4A	스마트키: PN 95440-AA100	
아반떼 CN7 PE	2024	-	ID4A	국내 부품번호 확인 필요	
아반떼 CN7 PE	2025	-	ID4A	국내 부품번호 확인 필요	
아반떼 CN7 PE	2026	-	ID4A	국내 부품번호 확인 필요	
아반떼 N CN7	2022	-	ID4A	PN 95440-IB100	
아반떼 N CN7	2023	-	ID4A	PN 95440-IB000	
아반떼 N CN7 PE	2024	-	ID4A	PN 95440-IB500	
아반떼 N CN7 PE	2025	-	ID4A	PN 95440-IB500	
아반떼 N CN7 PE	2026	-	ID4A	PN 95440-IB500	
엑센트 (Accent)	1994-1995	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
엑센트 (Accent)	1996-1999	-	ID4C	-	
베르나 LC	1999	-	ID4C 또는 ID46	-	LC 베르나 출시(1999)로 전환되는 해
베르나 LC	2000	PCF7936	ID46	리모컨: PN 95430-3D201, 95430-09000	
베르나 LC	2001	PCF7936	ID46	리모컨: PN 95430-3D201	
베르나 LC	2002	PCF7936	ID46	리모컨: PN 81996-1C300	
베르나 LC	2003	PCF7936	ID46	리모컨: PN 81996-1C300	
베르나 LC	2004	PCF7936	ID46	리모컨: PN 81996-1C300	
베르나 LC/MC	2005	PCF7936	ID46	국내 부품번호 확인 필요	
베르나 MC	2006	PCF7936	ID46	리모컨: PN 95430-1E000, 95430-1E100	
베르나 MC	2007	PCF7936	ID46	리모컨: PN 95430-1E000	
베르나 MC	2008	PCF7936	ID46	리모컨: PN 95430-1E000	
베르나 MC	2009	PCF7936	ID46	리모컨: PN 95430-1E011, 95430-1E012	
베르나 MC	2010	PCF7936	ID46	리모컨: PN 95430-1E011, 95430-1E012	
베르나 MC/엑센트 RB	2010	PCF7936	ID46	일반키: PN 81996-1E000 / 리모컨: PN 95430-1E011, 95430-1E012	2010.11 베르나에서 엑센트로 재개명된 해 — 전반기는 베르나 MC, 후반기는 엑센트 RB로 판매
엑센트 RB	2011	PCF7936	ID46	일반키: PN 81996-1E000 / 리모컨: PN 95430-2E200, 95430-1R200	
엑센트 RB	2012	PCF7936	ID46	PN 81996-1R010 / 리모컨: PN 95430-1R200	
엑센트 RB	2013	PCF7936	ID46	PN 81996-1R010 / 리모컨: PN 95430-1R200	
엑센트 RB	2014	PCF7936	ID46	PN 81996-1R010 / 리모컨: PN 95430-1R300	
엑센트 RB	2015	PCF7936	ID46	PN 81996-1R010 / 리모컨: PN 95430-1R300	
엑센트 RB	2016	PCF7936	ID46	PN 81996-1R010 / 리모컨: PN 95430-1R300	
엑센트 RB (2차 페이스리프트)	2017	PCF7936	ID46	리모컨: PN 95430-1R300	
엑센트 RB (내수 최종형)	2018	NCF2952X	ID47	PN 95440-J0000, 95440-J0100	
엑센트 RB (내수 최종형)	2019	NCF2952X	ID47	PN 95440-J0000, 95440-H6100	
엑센트 RB (수출전용)	2020	NCF2952X	ID47	PN 95440-J0000	2020년형부터 북미형 파워트레인이 아반떼AD/K3와 공유되는 엔진으로 교체됨(전자장비는 변경 확인 안 됨)
엑센트 RB (수출전용)	2021	NCF2952X	ID47	PN 95440-J0000	
엑센트 RB (수출전용, 북미 단종)	2022	NCF2952X	ID47	PN 95440-J0000	카탈로그 원 범위 종료연도(2023)와 실제 북미 단종연도(2022) 사이 1년 차이
아토스 (Atos)	1997-2001	-	ID4C	-	
아토스 (Atos)	2002	PCF7936	ID46	-	카탈로그 원 범위는 2002-2008
클릭 (Getz)	2002-2009	PCF7936	ID46	PN 95430-1C000	
티뷰론 (Tiburon)	1996-2001	-	ID4C	-	
투스카니 (Tuscani/2세대 티뷰론)	2001-2008	PCF7936	ID46	-	
제네시스 쿠페 BK	2008	PCF7952A	ID46	리모컨: PN 95430-2M200 / 스마트키: PN 95440-2M350	제네시스 쿠페 국내 출시년도(2008.1), 세단(BH)과 동시 출시
제네시스 쿠페 BK	2009	PCF7952A	ID46	리모컨: PN 95430-2M200 / 스마트키: PN 95440-2M350	
제네시스 쿠페 BK	2010	PCF7952A	ID46	스마트키: PN 95440-2M300, 95440-3X200, 95440-3V021	
제네시스 쿠페 BK	2011	PCF7952A	ID46	스마트키: PN 95440-2M300, 95440-3X200	
제네시스 쿠페 BK	2012	PCF7952A	ID46	리모컨: PN 95430-2M201 / 스마트키: PN 95440-2M420	
제네시스 쿠페 BK	2013	PCF7952A	ID46	PN 95440-2M420	확인됨: 세단(DH)과 달리 이 세대까지 계속 ID46 유지, ID47로 전환된 적 없음
제네시스 쿠페 BK	2014	PCF7952A	ID46	PN 95440-2M420	
제네시스 쿠페 BK	2015	PCF7952A	ID46	PN 95440-2M420 / 비상키: PN 81996-2M020, 81996-0R520	세단(DH)은 이 해 신형 칩으로 전환됐지만 쿠페는 계속 구형(ID46) 유지
제네시스 쿠페 BK	2016	PCF7952A	ID46	PN 95440-2M420	
제네시스 BH	2008	PCF7952A	ID46	스마트키: PN 95440-3M220	제네시스 BH 국내 출시년도(2008.1)
제네시스 BH	2009	PCF7952A(스마트)	ID46	스마트키: PN 95440-3M220	
제네시스 BH	2010	PCF7952A(스마트)	ID46	스마트키: PN 95440-3M220	
제네시스 BH	2011	PCF7952A(스마트)	ID46	스마트키: PN 95440-3M220	
제네시스 BH	2012	PCF7952A(스마트)	ID46	스마트키: PN 95440-3M220 / 리모컨: PN 95430-3M202	
제네시스 BH	2013	PCF7952A(스마트)	ID46	스마트키: PN 95440-3M220 / 비상키: PN 81996-B1500	BH 마지막 연식(2013) — 2013년 하반기부터 DH 세대로 전환되나, 사용자 요청 범위(BH)는 여기까지
제네시스 DH	2013	PCF7952A(스마트)	ID46	리모컨: PN 95430-2L350 / 스마트키: PN 95440-3M220	DH 국내 출시(2013.11), 초기 생산분은 BH 시절 전자장비를 그대로 유지
제네시스 DH	2014	PCF7952A(스마트)	ID46	스마트키: PN 95440-3M220, 95440-3M230	2014년형까지는 구형(ID46) 전자장비 유지, 2015년형부터 Hitag3/ID47로 전환
제네시스 DH	2015	-	ID47	스마트키: PN 95440-B1210, 95440-B1200BLH / 비상키: PN 81996-B1000 / 카드키: PN 95443-B1000, 95443-B1010 / 비상키: PN 81996-B1010	국내 현대모비스 공식몰(헬로우카) 확인 — 스마트키·카드키 두 옵션은 확인됐으나, 일반(비-스마트) 블레이드키 트림의 부품번호는 찾지 못함(트림 자체가 없었을 가능성)
제네시스 DH	2016	-	ID47	스마트키: PN 95440-B1210, 95440-B1200BLH / 카드키: PN 95443-B1010 / 비상키: PN 81996-B1010	DH 마지막 연식 — 2016년 하반기 제네시스 브랜드 독립 후 G80으로 개명, 사용자 요청 범위는 여기(현대 브랜드 시절)까지
제네시스 G80 (DH)	2017	-	ID47	PN 95440-D2000	제네시스 브랜드 독립(2015.11) 후 2017년형부터 'G80'으로 정식 출시, DH 세단 플랫폼 기반
제네시스 G80 (DH)	2018	-	ID47	PN 95440-D2000	
제네시스 G80 (DH)	2019	-	ID47	PN 95440-D2000	
제네시스 G80 (DH)	2020	-	ID47	PN 95440-D2000	G80 1세대(DH) 마지막 연식
제네시스 G80 (RG3)	2021	NCF29A	ID47	PN 95440-T6011	2세대(RG3) 완전변경 출시
제네시스 G80 (RG3)	2022	NCF29A	ID47	PN 95440-T1210	
제네시스 G80 (RG3)	2023	NCF29A	ID47	PN 95440-T1210	
제네시스 G80 (RG3)	2024	NCF29A	ID47	PN 95440-T1210	
제네시스 G80 (RG3 페이스리프트)	2025	NCF29A(추정)	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G80 (RG3 페이스리프트)	2026	NCF29A(추정)	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G90(EQ900) HI	2016	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G90(EQ900) HI	2017	-	ID47	PN 95440-D2000NNB	국내는 이 시기 'EQ900'으로 판매, 수출명은 G90
제네시스 G90 HI	2018	-	ID47	PN 95440-D2000NNB	국내 페이스리프트와 함께 'G90'으로 정식 개명
제네시스 G90 HI	2019	-	ID47	PN 95440-G9000, 95440-D2000NNB	
제네시스 G90 HI	2020	-	ID47	PN 95440-D2000NNB	
제네시스 G90 HI	2021	-	ID47	PN 95440-D2000NNB	
제네시스 G90 HI	2022	-	ID47	PN 95440-D2000NNB, 95440-T4110	RS4 완전변경 출시 연도 — 전기형/신형 혼재 가능
제네시스 G90 (RS4)	2023	NCF29A1X	ID47	PN 95440-T4100, 95440-T4110	
제네시스 G90 (RS4)	2024	NCF29A1X	ID47	PN 95440-T4100, 95440-T4110	
제네시스 G90 (RS4 페이스리프트)	2025	NCF29A1X(추정)	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G90 (RS4 페이스리프트)	2026	NCF29A1X(추정)	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G70 (IK)	2018	NCF2951X/NCF2952X	ID47	PN 95440-G9000	G70 국내 출시(2017.9, 2018년형부터)
제네시스 G70 (IK)	2019	NCF2951X/NCF2952X	ID47	PN 95440-G9000	
제네시스 G70 (IK)	2020	NCF2951X/NCF2952X	ID47	PN 95440-G9000	
제네시스 G70 (IK 페이스리프트)	2021	NCF2951X/NCF2952X	ID47	PN 95440-G9000, 95440-AR010	페이스리프트 출시 연도 — 구형 4버튼과 신형 8버튼 스마트키 혼재 가능
제네시스 G70 (IK 페이스리프트)	2022	-	ID47	PN 95440-AR010	
제네시스 G70 (IK 페이스리프트)	2023	-	ID47	PN 95440-AR010	
제네시스 G70 (IK 페이스리프트)	2024	-	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G70 (IK 페이스리프트)	2025	-	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
제네시스 G70 (IK 페이스리프트)	2026	-	ID47(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
아슬란 (Aslan)	2014	PCF7952	ID46 계열	리모컨: PN 95440-3V036 / 비상키: PN 81996-3N700	아슬란 국내 출시(2014.10) — 현대모비스 공식 부품몰 확인
아슬란 (Aslan)	2015	PCF7952	ID46 계열	리모컨: PN 95440-3V036	
아슬란 (Aslan)	2016	PCF7952	ID46 계열	PN 95440-3V036, 95440-3V040	현대모비스 공식 부품몰에 정확한 전환일(2016년 4월 8일)까지 명시되어 있음
아슬란 (Aslan)	2017	PCF7952	ID46 계열	리모컨: PN 95440-3V040 / 카드키: PN 95443-F5000, 95443-F5010 / 비상키: PN 81996-3V500	카드형 스마트키 옵션 존재 확인
아슬란 (Aslan)	2018	PCF7952	ID46 계열	리모컨: PN 95440-3V040 / 스마트키: PN 95443-F5000, 95443-F5010	아슬란 마지막 연식(2018.12 단종, 후속 없음)
i30 FD	2007	PCF7936/PCF7946/PCF7952	ID46	PN 95430-2L000, 95440-2L000	i30 국내외 출시년도(2007)
i30 FD	2008	PCF7936/PCF7946/PCF7952	ID46	PN 95430-2L000, 95440-2L000	
i30 FD	2009	PCF7936/PCF7946/PCF7952	ID46	PN 95430-2L000, 95440-2L000	
i30 FD	2010	PCF7936/PCF7946/PCF7952	ID46	PN 95430-2L000, 95440-2L000	
i30 FD	2011	PCF7936/PCF7946/PCF7952	ID46	PN 95430-2L000, 95440-2L000	FD 마지막 연식
i30 GD	2012	PCF7952(스마트)	ID6E-MA / ID46	스마트키: PN 95440-A6000	GD 세대 출시(2011-2012)
i30 GD	2013	PCF7952(스마트)	ID6E-MA / ID46	스마트키: PN 95440-A6000	
i30 GD	2014	PCF7952(스마트)	ID6E-MA / ID46	스마트키: PN 95440-A6000	
i30 GD	2015	PCF7952(스마트)	ID6E-MA / ID46	스마트키: PN 95440-A6000	
i30 GD	2016	PCF7952(스마트)	ID6E-MA / ID46	스마트키: PN 95440-A6000	GD 마지막 연식
i30 PD	2017	ID8A	ID8A	스마트키: PN 95440-G3100 / 리모컨: PN 95430-G3200	PD 세대 출시(2016-2017) — 실제 칩은 Hitag3/ID47이 아니라 Texas DST-AES/ID8A로 확인됨(기존 카탈로그 표기 정정)
i30 PD	2018	ID8A	ID8A	PN 95440-G3100 / 플립키: PN 95430-G3200	
i30 PD	2019	ID8A	ID8A	PN 95440-G3100 / 플립키: PN 95430-G3200	
i30 PD	2020	ID8A	ID8A	PN 95440-G3100 / 플립키: PN 95430-G3200	2020년 1차 페이스리프트 출시 연도
i30 PD (1차 페이스리프트)	2021	ID8A	ID8A	PN 95440-G3100, 95440-S0000	1차 페이스리프트(2020) 이후 부품번호가 G3100→S0000 계열로 점진 전환되는 것으로 추정
i30 PD (1차 페이스리프트)	2022	ID8A	ID8A	PN 95440-S0000, 95440-S0100	
i30 PD (1차 페이스리프트)	2023	ID8A	ID8A	PN 95440-S0000, 95440-S0100	
i30 PD (2차 페이스리프트)	2024	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
i30 PD (2차 페이스리프트)	2025	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
i30 PD (2차 페이스리프트)	2026	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
i40 (VF)	2011	ID8A	ID8A	PN 95440-3Z100	i40 출시년도 — 왜건 2011.9, 세단 2012.1
i40 (VF)	2012	ID8A	ID8A	PN 95440-3Z000, 95440-3Z001	세단형 출시(2012.1)
i40 (VF)	2013	ID8A	ID8A	PN 95440-3Z001	
i40 (VF)	2014	ID8A	ID8A	PN 95440-3Z001	
i40 (VF, 뉴 i40 페이스리프트)	2015	ID8A	ID8A	PN 95440-3Z001, 95440-3Z002	페이스리프트('New i40') 국내 출시(2015.1)
i40 (VF, 뉴 i40 페이스리프트)	2016	ID8A	ID8A	PN 95440-3Z001, 95440-3Z002	
i40 (VF, 뉴 i40 페이스리프트)	2017	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
i40 (VF, 유럽 2차 페이스리프트)	2018	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
i40 (VF, 유럽 2차 페이스리프트)	2019	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
i40 (VF, 유럽 2차 페이스리프트)	2020	ID8A(추정)	ID8A(추정)	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
벨로스터 FS	2011	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	벨로스터 국내외 출시년도(2011)
벨로스터 FS	2012	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	
벨로스터 FS	2013	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	
벨로스터 FS	2014	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	
벨로스터 FS	2015	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	
벨로스터 FS	2016	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	
벨로스터 FS	2017	PCF7952(스마트)	ID6E-MA / ID46	PN 95430-2V000, 95440-2V000	FS 마지막 연식
벨로스터	2018	-	-	-	⚠ 원본 카탈로그에 해당 모델/연식 데이터가 없어 확인 불가 — 실제 작업 전 VIN 기반 프로그래머 DB로 재확인 필요
벨로스터 JS	2019	-	ID47	스마트키: PN 95440-J3000 / 플립키: PN 95430-J3010	JS 세대 출시(2018년말~2019년형)
벨로스터 JS	2020	-	ID47	PN 95440-J3000 / 플립키: PN 95430-J3010	
벨로스터 (JS, 기본형+N 병행)	2021	-	ID47	PN 95440-J3000, 95440-K9000	이 해까지는 기본형(2.0/Turbo 등)과 N이 함께 판매됨. 기본형은 2021년형이 마지막
벨로스터 N (JS, N 단독)	2022	-	ID47	PN 95440-K9000 / 스마트키: PN 95480-K9200	2022년형부터는 기본형이 전부 단종되고 고성능 N만 유일하게 판매됨(북미 확인) — JS 마지막 연식이자 벨로스터 전체 마지막 연식, 후속 없음
아이오닉 (1세대, HEV/PHEV/EV 통합모델 — 서브브랜드 분리 전)	2017	NCF2952X	ID47	PN 95440-G2000, 95440-G2010	
아이오닉 (1세대, HEV/PHEV/EV 통합모델 — 서브브랜드 분리 전)	2018	NCF2952X	ID47	PN 95440-G2000, 95440-G2010	
아이오닉 (1세대, HEV/PHEV/EV 통합모델 — 서브브랜드 분리 전)	2019	NCF2952X	ID47	PN 95440-G2000, 95440-G2010	
